Miss_muts	Drug	Balanced_Accuracy
0.0	ATV	0.9300889364371766
0.0	DRV	0.8078879074054888
0.0	FPV	0.9221674712611451
0.0	IDV	0.9359298335087665
0.0	LPV	0.9336071518490197
0.0	NFV	0.9469762714537527
0.0	SQV	0.92525315825336
0.0	TPV	0.8683493649883793
0.1	ATV	0.9164913644573878
0.1	DRV	0.751976989771365
0.1	FPV	0.8980295996151353
0.1	IDV	0.9144279089427318
0.1	LPV	0.9070664693631143
0.1	NFV	0.929742844361958
0.1	SQV	0.8975844591599188
0.1	TPV	0.8325187286103184
0.2	ATV	0.9191070098308052
0.2	DRV	0.7199979059736297
0.2	FPV	0.8852424070459012
0.2	IDV	0.9116247704347966
0.2	LPV	0.8758020155055055
0.2	NFV	0.931790318259576
0.2	SQV	0.8849485208188087
0.2	TPV	0.7692046150029139
0.3	ATV	0.8942572211390235
0.3	DRV	0.7035945535945536
0.3	FPV	0.8667682598302319
0.3	IDV	0.8956847420081525
0.3	LPV	0.8493122677990701
0.3	NFV	0.9154992738813672
0.3	SQV	0.8642573257280498
0.3	TPV	0.7863134358941377
0.4	ATV	0.8412906059140249
0.4	DRV	0.6082522913422072
0.4	FPV	0.800872016218342
0.4	IDV	0.8433549618138368
0.4	LPV	0.7682217303886245
0.4	NFV	0.8850884178968107
0.4	SQV	0.79737077490052
0.4	TPV	0.7198328965971053
0.5	ATV	0.8042825590855422
0.5	DRV	0.5863161813062062
0.5	FPV	0.7422071180201218
0.5	IDV	0.7836362341488705
0.5	LPV	0.6900177986021915
0.5	NFV	0.862169188875885
0.5	SQV	0.7383887966847051
0.5	TPV	0.6934510130392483
0.6	ATV	0.7340511382138872
0.6	DRV	0.548914398919651
0.6	FPV	0.6878987469925729
0.6	IDV	0.723749343195578
0.6	LPV	0.6081007439289842
0.6	NFV	0.8044007624395662
0.6	SQV	0.6889196214185174
0.6	TPV	0.6256268297436829
0.7	ATV	0.6700775651384578
0.7	DRV	0.5117408906882591
0.7	FPV	0.6136251492282723
0.7	IDV	0.65563795987236
0.7	LPV	0.5530277264239783
0.7	NFV	0.7373824074686273
0.7	SQV	0.6330234448907268
0.7	TPV	0.6047608626423245
0.8	ATV	0.570213520998389
0.8	DRV	0.5056891025641026
0.8	FPV	0.5517166420595118
0.8	IDV	0.5679674662166561
0.8	LPV	0.5088281964269437
0.8	NFV	0.6470354953333608
0.8	SQV	0.5732192941708223
0.8	TPV	0.5365764129528529
0.9	ATV	0.5272038801516639
0.9	DRV	0.5
0.9	FPV	0.5157440854743011
0.9	IDV	0.5177742123829225
0.9	LPV	0.5009174311926605
0.9	NFV	0.56166725586603
0.9	SQV	0.5360250304685485
0.9	TPV	0.5109857921424179
1.0	ATV	0.5
1.0	DRV	0.5
1.0	FPV	0.5
1.0	IDV	0.5
1.0	LPV	0.5
1.0	NFV	0.5
1.0	SQV	0.5
1.0	TPV	0.5
